,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,last_name,first_initial
6,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,,,,,,,mcconnell,L
7,Yes,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,,jr.,R
8,No,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,,williams,A
9,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,isner,T
10,No,Nonwhite,No,No,No,No,Yes,No,,,Yes,,,,,,,,,,,winfrey,A
11,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,hagan,M
12,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,auman,L
13,No,White,Yes,No,No,No,No,No,,,No,,,,,,,,,,,neighbors,R
14,Yes,White,No,No,No,No,No,No,,,,,,,,,,Yes,,,,joffrion,P
15,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,kline,D
18,Yes,Nonwhite,No,No,No,No,No,No,,,Yes,,,,,,,Yes,,,,desai,C
19,Yes,White,No,No,Yes,No,No,No,Yes,,Yes,,,,,,,,,,,tucker,C
20,No,White,Yes,No,No,No,No,No,No,,Yes,,,,,,,,,,,combs,G
21,No,Nonwhite,No,No,No,No,No,No,No,,No,,,,,,,,,,,dunkley,J
22,No,White,No,No,No,No,No,No,No,,No,,,,,,,,,,,spencer,P
23,Yes,White,No,No,No,No,No,No,,,,,,,,,,Yes,,,,mahony,J
24,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,shamel,H
25,No,White,No,Yes,No,No,No,No,,,,,,,Yes,Yes,,,,,,westbrook,B
26,Yes,Nonwhite,No,No,No,No,Yes,No,,,,,,,No,No,,,,,,tipirneni,H
39,Yes,White,No,No,No,No,No,No,,,,,,,Yes,Yes,,No,,,,denney,A
40,No,White,No,No,No,No,No,No,,,,,,,No,No,,No,,,,peterson,D
41,No,White,No,No,No,No,No,No,,,,,,,No,No,,No,,,,holcombe,J
42,No,White,No,No,No,No,No,No,,,,,,,No,No,,Yes,,,,walters,M
43,No,White,No,No,No,No,Yes,No,No,No,No,,,,Yes,Yes,,No,,,,nygard,D
44,Yes,White,No,No,No,No,Yes,No,Yes,No,Yes,,,,No,No,,No,,,,harder,J
45,No,White,No,No,No,No,No,No,No,No,No,,,,No,No,,No,,,,eggman,M
46,No,White,Yes,No,No,No,Yes,No,No,No,No,,,,No,No,,No,,,,barkley,M
47,No,White,No,No,Yes,No,Yes,No,No,No,No,,,,No,No,,No,,,,zwahlen,S
48,No,Nonwhite,No,No,Yes,No,No,No,No,Yes,Yes,,,,No,No,,Yes,,,,madueno,V
49,Yes,Nonwhite,No,No,No,No,Yes,No,Yes,No,,,,,,,,,,,,cox,T
50,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,janz,A
51,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,bliatout,B
52,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,,,,,,,franco,R
53,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,wilson,K
54,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,barro,M
55,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,matta,T
56,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,reed,W
57,No,White,No,No,No,No,No,No,No,No,Yes,,,,No,Yes,,,,,,caforio,B
58,No,White,No,No,No,No,Yes,No,No,No,Yes,,,,Yes,No,,,,,,phoenix,J
59,Yes,White,No,Yes,No,No,No,No,Yes,Yes,Yes,,,,No,No,,,,,,hill,K
60,No,White,No,No,No,No,No,No,No,No,,,,,No,No,,,,,,pallant,M
61,No,White,No,No,No,Yes,No,No,No,No,Yes,,,,Yes,,,No,,No,,thorburn,A
62,Yes,Nonwhite,Yes,No,No,Yes,No,No,Yes,No,Yes,,,,No,,,No,,Yes,,cisneros,G
63,No,Nonwhite,No,No,No,Yes,Yes,No,No,No,No,,,,No,,,No,,No,,lee,H
64,No,Nonwhite,No,No,No,Yes,Yes,No,No,Yes,Yes,,,,No,,,No,,No,,tran,M
65,No,Nonwhite,No,No,No,No,No,Yes,No,No,Yes,,,,No,,,Yes,,No,,jammal,S
66,No,Nonwhite,No,No,No,No,No,No,No,No,No,,,,No,,,No,,No,,leggett,S
67,Yes,White,No,No,No,No,No,No,,,Yes,,,,No,No,,Yes,,,,morse,J
68,No,White,No,No,No,No,No,No,,,Yes,,,,No,No,,No,,,,bateson,R
69,No,White,No,No,No,No,No,No,,,No,,,,No,No,,No,,,,lawton,R
70,No,Nonwhite,No,No,No,No,Yes,No,,,Yes,,,,Yes,Yes,,No,,,,calderon,R
71,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,Yes,,,,peacock,J
72,No,Nonwhite,No,No,No,No,No,No,,,No,,,,,,,No,,,,quintero,N
73,No,White,No,No,No,No,Yes,Yes,No,No,Yes,,No,,No,,No,,,,,forde,B
74,No,Nonwhite,No,No,No,No,No,No,No,No,Yes,,No,,No,,No,,,,,min,D
75,Yes,White,No,No,No,No,No,No,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,,,porter,K
76,No,Nonwhite,No,No,No,No,No,No,No,No,Yes,,No,,Yes,,No,,,,,hamadanchy,K
77,No,White,No,No,No,No,No,No,No,No,No,,,,,No,,No,,,,schaarsmith,D
78,No,White,No,No,No,Yes,Yes,No,No,No,Yes,,,,,No,,No,,,,keirstead,H
79,Yes,White,No,No,No,Yes,No,No,Yes,No,Yes,,,,,No,,Yes,,,,rouda,H
80,No,White,No,No,No,No,Yes,No,No,No,No,,,,,Yes,,No,,,,oatman,L
81,No,White,No,No,No,No,No,No,No,No,No,,,,,No,,No,,,,kotick,M
82,No,Nonwhite,No,No,No,Yes,Yes,No,No,No,Yes,,,,,No,,No,,,,siddiqui,O
83,No,White,No,No,No,No,Yes,No,No,Yes,No,,,,,No,,No,,,,payne,R
84,No,White,Yes,No,No,No,Yes,No,No,No,No,,,,,No,,No,,,,zarkades,T
85,No,White,Yes,No,No,No,No,No,No,No,,,,,,Yes,No,,,Yes,,applegate,D
86,Yes,White,No,No,No,No,No,No,Yes,No,,,,,,No,Yes,,,No,,levin,M
87,No,White,Yes,No,No,Yes,No,No,No,No,,,,,,No,No,,,No,,kerr,P
88,No,White,No,No,No,Yes,No,Yes,No,Yes,,,,,,No,No,,,No,,jacobs,S
89,Yes,Nonwhite,No,No,No,No,No,Yes,,,,,,,,Yes,Yes,Yes,,,,campa-najjar,A
90,No,White,Yes,No,No,No,No,No,,,,,,,,No,No,No,,Yes,,butner,J
91,No,White,No,No,No,No,No,No,,,,,,,,No,No,No,,,,malloy,P
92,No,White,No,Yes,No,No,Yes,No,,,,,,,,,,,,,,doyle,M
93,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,ramirez,R
94,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,o'donnell,R
99,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,neguse,J
100,No,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,,williams,M
101,No,White,No,No,No,No,No,No,,No,,,,,,,,,,,,menconi,A
102,Yes,White,No,No,Yes,No,No,No,,Yes,,,,,,,,,,,,bush,D
103,No,White,No,No,No,No,No,No,,No,,,,,,,,,,,,hanlon,K
104,No,White,Yes,No,No,No,Yes,No,,,,,,,,,,,,,,kohne,C
105,Yes,White,No,No,No,No,Yes,No,,,,,,,,,,,,,,mccormick,K
106,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,Yes,,,,,,spaulding,S
107,Yes,White,Yes,No,No,No,No,No,Yes,,,,,,No,,,,,Yes,,crow,J
108,No,White,No,No,No,No,Yes,Yes,No,,,,,,Yes,,,,,No,,tillemann,L
111,No,Nonwhite,No,No,No,No,No,No,,,,,,,,No,No,No,,,,seidman,B
112,Yes,White,No,No,No,No,No,No,,,,,,,Yes,Yes,No,Yes,,,,ring,L
113,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,montgomery,C
114,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,winfield,R
115,Yes,White,No,No,No,No,Yes,No,,,,,,,,,,,,,,johnson-green,T
116,Yes,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,,jr.,F
117,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,johnson,F
118,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,ingham,R
119,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,nesmith,T
120,Yes,White,No,No,No,No,Yes,No,,,,,,,,,,,,,,foster,S
121,Yes,White,Yes,No,No,No,No,No,,,,,,,,,,,,,,enderlin,C
122,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,oliver,R
123,No,White,No,No,No,No,No,No,,No,No,,,,,,,,,,,kaple,B
124,No,White,No,No,No,No,Yes,No,,No,No,,,,,,,,,,,abel,K
125,Yes,Nonwhite,No,No,No,No,Yes,No,,Yes,Yes,,,,,,,,,,,mcbath,L
126,No,White,No,No,No,No,No,No,,No,No,,,,,,,,,,,griffin,S
127,Yes,White,No,No,No,No,No,No,,Yes,,,,,No,,,,,,,bourdeaux,C
128,No,Nonwhite,No,No,No,Yes,No,No,,No,,,,,No,,,,,,,kim,D
129,No,Nonwhite,No,No,No,No,No,No,,No,,,,,No,,,,,,,pham,E
130,No,White,No,No,No,No,No,No,,No,,,,,Yes,,,,,,,allen,K
131,No,Nonwhite,No,No,No,No,No,No,,No,,,,,No,,,,,,,davis,M
132,No,White,Yes,No,No,No,No,No,,No,,,,,No,,,,,,,reilly,S
133,No,White,Yes,No,No,No,No,No,,,,,,,No,,,Yes,,,,cooper,D
134,Yes,White,No,No,No,No,No,No,,,,,,,Yes,,,No,,,,mccall,J
141,Yes,White,No,No,Yes,No,No,No,Yes,Yes,,Yes,,,,,,,,,,finkenauer,A
142,No,White,No,No,No,No,Yes,No,No,No,,No,,,,Yes,,,,,,rowe,C
143,No,Nonwhite,Yes,No,No,No,No,No,No,No,,No,,,,,,,,,,ramsey,G
144,No,White,No,No,No,No,No,Yes,No,No,,No,,,,,,,,,,heckroth,T
145,Yes,White,No,No,No,No,No,No,Yes,Yes,,,,No,No,,,,,,,axne,C
146,No,White,No,No,No,Yes,No,No,No,No,,,,No,No,,,,,,,mauro,E
147,No,White,No,No,No,No,No,No,No,No,,,,Yes,Yes,,,,,,,d'alessandro,P
148,Yes,White,No,No,No,No,No,No,,,,,,,Yes,,,,Yes,,,scholten,J
149,No,White,No,No,No,No,Yes,No,,,,,,,No,,,,No,,,paschen,J
150,No,White,No,No,Yes,No,No,No,,,,,,,No,,,,No,,,jacobsen,L
154,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,mcneil,C
155,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,vandermaas,J
156,No,White,Yes,No,No,No,No,No,,,,,,,,,,,,,,smith,M
157,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,swisher,A
158,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,rickards,P
165,Yes,White,Yes,No,No,No,No,No,Yes,,,Yes,,,,,,,,Yes,,kelly,B
166,No,White,Yes,No,No,No,No,No,No,,,No,,,,,,,,No,,bequette,D
167,No,White,No,No,No,No,No,No,No,No,,,,,,No,,,,,,sides,A
168,Yes,White,No,No,No,No,No,No,Yes,Yes,,,,,,No,,,,,,londrigan,B
169,No,White,No,No,No,No,Yes,No,No,No,,,,,,Yes,,,,,,gill,D
170,No,White,No,No,No,No,No,No,No,No,,,,,,No,,,,,,jones,E
171,No,White,Yes,No,No,No,No,No,No,No,,,,,,No,,,,,,ebel,J
172,No,White,No,Yes,No,No,No,No,No,No,No,,No,,No,,,,,,,roldan-johnson,D
173,No,White,No,No,No,No,Yes,No,No,No,No,,No,,No,,,,,,,weber,G
174,No,White,No,No,No,No,No,No,No,No,No,,No,,Yes,,,,,,,walz,J
175,No,White,No,No,No,No,No,No,No,No,No,,No,,No,,,,,,,hosta,J
176,Yes,Nonwhite,No,No,No,No,Yes,Yes,Yes,Yes,Yes,,Yes,,No,,,,,,,underwood,L
177,No,White,No,No,Yes,No,Yes,No,No,No,No,,No,,No,,,,,,,brolley,M
178,No,White,Yes,No,No,No,No,No,No,No,No,,No,,No,,,,,,,swanson,V
179,No,White,No,No,No,No,Yes,No,,,,,,,,,,,,,,spoerer,C
180,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,gaither,K
181,No,White,No,No,No,No,No,No,,,,,,,Yes,,,,,,,briel,A
182,No,White,No,No,No,No,No,No,,,,,,,No,,,,,,,vercolio-osmund,B
183,No,Nonwhite,No,No,No,No,No,No,,,,,,,No,,,,,,,mohammad,N
184,Yes,White,No,No,No,No,No,No,,,,,,,No,,,,,,,dady,S
185,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,deters,B
186,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,miller,D
187,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,rodriguez,J
188,Yes,Nonwhite,No,No,Yes,No,No,No,,No,,,,Yes,Yes,,,,,,,garcia,J
189,No,Nonwhite,No,No,No,No,No,No,,No,,,,No,No,,,,,,,gonzalez,R
190,No,Nonwhite,No,No,No,No,No,No,,Yes,,,,No,No,,,,,,,flores,S
191,No,White,No,No,No,No,No,No,No,No,No,,,,,,,,,,,howland,A
192,No,White,No,No,No,No,No,No,No,No,No,,,,,,,,,,,wilkins,B
193,No,White,No,No,No,No,No,No,No,No,No,,,,,,,,,,,cheney,C
194,No,White,No,No,No,No,No,No,No,No,No,,,,,,,,,,,zordani,J
195,No,White,No,No,No,No,Yes,No,No,Yes,No,,,,,,,,,,,mazeski,K
196,No,White,No,No,No,No,Yes,No,No,No,No,,,,,,,,,,,huffman,R
197,Yes,White,No,No,No,Yes,Yes,No,Yes,No,Yes,,,,,,,,,,,casten,S
198,No,White,No,No,No,No,Yes,No,,,No,,,,,,,,,,,carpenter,D
199,No,White,No,No,No,No,No,No,,,No,,,,,,,,,,,petroff,J
200,Yes,White,No,No,No,Yes,Yes,No,,,No,,,,,,,,,,,hall,M
201,No,White,No,Yes,No,No,No,No,,,No,,,,,,,,,,,hackett,P
202,No,White,Yes,No,No,No,No,No,,,No,,,,,,,,,,,leech,R
203,No,Nonwhite,No,No,No,Yes,Yes,No,,,Yes,,,,,,,,,,,joshi,Y
204,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,tritch,C
205,No,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,,roberson,J
206,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,schrader,T
207,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,griesey,D
208,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,mackey,J
209,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,day,R
211,Yes,White,Yes,No,No,No,No,No,,,,,,,,,,,,,,beck,T
212,No,White,No,Yes,No,No,No,No,,,,,,,,,,,,,,ziol,V
213,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,thornton,D
214,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,douglas,D
215,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,,,,,,,faraggi,E
216,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,,,,,,,moore,K
217,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,dugdale,S
218,No,White,Yes,No,No,No,Yes,No,,,,,,,,,,,,,,holland,G
219,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,lake,J
220,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,pruett,J
221,No,White,No,No,No,No,Yes,No,,,,,,,,,,,,,,williamson,J
222,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,lave,K
223,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,siekman,L
224,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,tanoos,W
225,No,White,No,No,No,No,No,No,,No,,,No,,,Yes,No,,No,,,canon,D
226,Yes,White,No,No,No,No,No,No,,Yes,,,Yes,,,No,Yes,,Yes,,,watson,L
227,No,White,No,No,No,No,No,No,,No,,,No,,,No,No,,No,,,chatlos,R
233,Yes,White,Yes,No,No,No,No,No,,,,,,,,,,,,,,lapolice,A
234,Yes,White,No,No,Yes,No,No,No,,,,,,,,,,,,,,davis,P
235,No,White,No,No,No,No,No,Yes,,No,Yes,,,Yes,Yes,Yes,Yes,No,,,,welder,B
236,No,White,No,No,No,No,No,No,,No,No,,,No,No,No,No,No,,,,sidie,J
237,No,White,No,No,No,No,Yes,No,,No,No,,,No,No,No,No,No,,,,mccamon,M
238,Yes,Nonwhite,No,Yes,No,No,No,No,,Yes,No,,,No,No,No,No,Yes,,,,davids,S
239,No,White,No,No,No,No,No,No,,No,No,,,No,No,No,No,No,,,,williams,S
240,No,White,No,No,No,No,No,No,,No,No,,,No,No,No,No,Yes,,,,niermann,T
241,Yes,White,Yes,No,No,No,No,No,,,Yes,,,Yes,Yes,Yes,,,,,,thompson,J
242,No,White,No,No,No,No,No,No,,,Yes,,,No,No,No,,,,,,lombard,L
243,No,White,No,No,No,No,No,No,,,,,,,No,,,No,,,,pennington,A
244,Yes,White,No,No,No,No,No,No,,,,,,,Yes,,,Yes,,,,walker,P
245,No,White,No,No,No,No,No,No,,,,,,,No,,,,,,,pedigo,B
246,No,White,No,No,No,No,No,No,,,,,,,Yes,,,,,,,short,G
247,Yes,White,No,No,No,No,No,No,,,,,,,No,,,,,,,linderman,H
248,No,White,Yes,No,No,No,No,No,,,,,,,No,,,,,,,sessions,R
249,No,White,No,No,No,No,No,No,,,No,,,,,,,,,,,lord,C
250,No,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,piatt,P
251,Yes,White,No,No,No,No,No,No,,,No,,,,,,,,,,,hall,S
252,Yes,White,Yes,No,No,No,No,No,,,,,,,,,,,,,,stepp,K
253,No,White,No,No,Yes,No,No,No,,,,,,,,,,,,,,sykes,S
254,Yes,White,Yes,No,No,No,No,No,,,,,,,,,,,,Yes,,mcgrath,A
255,No,White,No,No,No,No,No,No,,,,,,,,,,,,No,,kemph,D
256,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,young,G
257,No,White,No,Yes,Yes,No,No,No,,,,,,,,,,,,,,gray,J
258,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,,,,,,No,,thomas,R
259,No,White,No,No,No,No,No,No,,,,,,,,,,,,No,,green,T
268,No,White,No,No,No,No,No,No,,,Yes,,,,No,,,,,No,,galbraith,A
269,No,White,No,No,No,No,Yes,No,,,No,,,,No,,,,,No,,lane,E
270,Yes,White,Yes,No,No,No,No,No,,,Yes,,,,No,,,,,Yes,,colvin,J
272,No,White,No,No,No,No,No,No,,,Yes,,,,Yes,,,,,No,,pullen,M
273,No,White,No,No,No,No,No,No,,,No,,,,No,,,,,No,,worton,S
274,No,White,Yes,No,No,No,No,No,,No,Yes,,,,No,No,,,No,,,duck,A
275,No,Nonwhite,No,No,Yes,No,Yes,No,,Yes,Yes,,,,No,No,,,No,,,miller,A
276,No,White,No,No,No,No,No,No,,No,No,,,,No,No,,,No,,,graves,C
